rank,id,name,description,bggrating,avgrating,numvoter,date
18,124361,Concordia,Lead your Roman dynasty and build the greatest trading empire in the Mediterranean.,7.964,8.12,29730,2021-08-10
19,28720,Brass: Lancashire,Test your economic mettle as you build and network in the industrial revolution.,7.961,8.18,20170,2021-08-10
20,266192,Wingspan,Attract a beautiful and diverse collection of birds to your wildlife reserve.,7.948,8.11,49469,2021-08-10
21,167355,Nemesis,Survive an alien-infested spaceship but beware of other players and their agendas.,7.940,8.40,14806,2021-08-10
22,177736,A Feast for Odin,"Puzzle together the life of a Viking village as you hunt, farm, craft, and explore.",7.936,8.20,18584,2021-08-10
23,205637,Arkham Horror: The Card Game,Investigate the horrors of Arkham while courting cosmic doom.,7.926,8.17,30694,2021-08-10
24,183394,Viticulture Essential Edition,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,7.905,8.07,32030,2021-08-10
25,164928,Orléans,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",7.887,8.08,23373,2021-08-10
26,96848,Mage Knight Board Game,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",7.883,8.10,28631,2021-08-10
27,237182,Root,Decide the fate of the forest as woodland factions fight for contrasting goals.,7.882,8.11,27864,2021-08-10
28,199792,Everdell,Use resources to build a village of critters and constructions in this woodland game.,7.860,8.10,24472,2021-08-10
29,3076,Puerto Rico,"Ship goods, construct buildings, and choose roles that benefit you more than others.",7.851,7.98,64288,2021-08-10
30,102794,Caverna: The Cave Farmers,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",7.836,8.01,28922,2021-08-10
31,175914,Food Chain Magnate,Strategically hire and manage your workforce to outcompete rival fast food chains.,7.835,8.12,14507,2021-08-10
32,31260,Agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,7.821,7.94,64748,2021-08-10
33,170216,Blood Rage,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,7.820,8.00,35656,2021-08-10
34,205059,Mansions of Madness: Second Edition,Unravel mysteries in Arkham with your investigative team in this app-guided game.,7.805,8.05,26803,2021-08-10
35,221107,Pandemic Legacy: Season 2,The world is a mystery after a devastating pandemic—where will your team go?,7.800,8.13,12886,2021-08-10
36,276025,Maracaibo,Seafarers journey to obtain wealth and fame in the 17th century Caribbean.,7.796,8.25,9146,2021-08-10
37,316554,Dune: Imperium,"Influence, intrigue, and combat in the universe of Dune.",7.794,8.34,8228,2021-08-10
38,285774,Marvel Champions: The Card Game,Battle Marvel villains with unique teams of iconic heroes in this LCG.,7.780,8.22,11949,2021-08-10
39,180263,The 7th Continent,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,7.774,8.10,17945,2021-08-10
40,284083,The Crew: The Quest for Planet Nine,Go on a planet-discovering space mission in this cooperative trick-taking game.,7.766,7.99,19905,2021-08-10
41,192135,Too Many Bones,Toss gobs of unique dice in an epic adventure en route to a final boss showdown.,7.764,8.45,6899,2021-08-10
42,266507,Clank! Legacy: Acquisitions Incorporated,"""Go forth, be bold, and ACQUIRE!"" in this campaign version of ""Clank!""",7.758,8.72,4048,2021-08-10
43,247763,Underwater Cities,"Develop future cities on the seafloor through politics, production, and science.",7.754,8.11,11316,2021-08-10
44,55690,Kingdom Death: Monster,Try to survive in a nightmarish world that lies under eternal darkness.,7.751,8.63,7821,2021-08-10
45,126163,Tzolk'in: The Mayan Calendar,"Lead your people, build monuments and make offerings to earn the favour of the gods.",7.750,7.90,32033,2021-08-10
46,2651,Power Grid,"Bid, network, and manage resources in a race to supply the most cities with power.",7.746,7.85,57382,2021-08-10
47,185343,Anachrony,Use Exosuits & time travel to ensure your vision for the future after the cataclysm.,7.744,8.11,12461,2021-08-10
48,209010,Mechs vs. Minions,Cooperatively program and pilot your mechs to defeat an army of marauding minions.,7.732,8.04,14594,2021-08-10
49,164153,Star Wars: Imperial Assault,Play as rebel or imperial forces to fulfil mission objectives.,7.729,8.01,21169,2021-08-10
50,216132,Clans of Caledonia,"Lead your unique Scottish clan to economic might via production, trade, and export.",7.728,8.00,15847,2021-08-10
51,251247,Barrage,Nations vie for hydroelectric dominance in a dystopia where water is power.,7.725,8.22,7881,2021-08-10
52,35677,Le Havre,"Establish a supply chain by collecting resources, building industries, and shipping.",7.714,7.87,27214,2021-08-10
53,230802,Azul,Artfully embellish the walls of your palace by drafting the most beautiful tiles.,7.697,7.81,57903,2021-08-10
54,184267,On Mars,"Be a part of the first Martian colony, striving to be the best contributor.",7.696,8.29,6871,2021-08-10
55,72125,Eclipse,"Build an interstellar civilization by exploration, research, conquest, and diplomacy.",7.695,7.88,26529,2021-08-10
56,312484,Lost Ruins of Arnak,Explore an island to find resources and discover the lost ruins of Arnak.,7.694,8.13,9864,2021-08-10
57,25613,Through the Ages: A Story of Civilization,"Lead your civilization through strategic drafting of leaders, technologies, and more.",7.690,7.91,18194,2021-08-10
